name,image,link,ratings,no_of_ratings,discount_price,actual_price,name_length,price_difference,rating_ratio,log_actual_price,discount_percentage,yeojohnson_actual,yeojohnson_discount
"boat airdopes 141 bluetooth truly wireless in ear earbuds with mic, 42h playtime, beast mode(low latency upto 80ms) for ga...",https://m.media-amazon.com/images/I/51HBom8xz7L._AC_UL800_.jpg,https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY/ref=sr_1_10?qid=1679133649&s=electronics&sr=1-10,3.9,299.9622929380994,1299.0,3995.0,125.0,2696.0,0.01300163417808254,8.293049139768444,67.48435544430538,1.873451188142779,1.5780533781504353
"apple 20w usb-c power adapter (for iphone, ipad & airpods)",https://m.media-amazon.com/images/I/61vtLhO6fDL._AC_UL800_.jpg,https://www.amazon.in/Apple-USB-C-Adapter-iPhone-AirPods/dp/B08L5WWFCY/ref=sr_1_11?qid=1679133649&s=electronics&sr=1-11,4.6,299.9622929380994,1589.0,1900.0,58.0,311.0,0.015335260825430687,7.550135342488429,16.36842105263158,0.6714081691172696,1.8550936688032407
"boat airdopes atom 81 true wireless in ear earbuds with upto 50h playtime, quad mics enx tech, 13mm drivers, beast mode(50...",https://m.media-amazon.com/images/I/51NKpc-CnBL._AC_UL800_.jpg,https://www.amazon.in/boAt-Airdopes-Atom-81-Wireless/dp/B0BKG5PQ6T/ref=sr_1_19?qid=1679133649&s=electronics&sr=1-19,3.8,299.9622929380994,1299.0,4490.0,125.0,3191.0,0.01266825894274709,8.409830673087738,71.06904231625836,2.0831321140982584,1.5780533781504353
"boat airdopes 141 bluetooth truly wireless in ear earbuds with 42h playtime, beast mode(low latency upto 80ms) for gaming,...",https://m.media-amazon.com/images/I/51tFAbNRaPL._AC_UL800_.jpg,https://www.amazon.in/Airdopes-141-Bluetooth-Wireless-Playtime/dp/B09N3XMZ5F/ref=sr_1_20?qid=1679133649&s=electronics&sr=1-20,3.9,299.9622929380994,1299.0,4490.0,125.0,3191.0,0.01300163417808254,8.409830673087738,71.06904231625836,2.0831321140982584,1.5780533781504353
boat bassheads 100 in-ear wired headphones with mic (black),https://m.media-amazon.com/images/I/719elVA3FvL._AC_UL800_.jpg,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_21?qid=1679133649&s=electronics&sr=1-21,4.1,299.9622929380994,399.0,999.0,59.0,600.0,0.013668384648753439,6.907755278982137,60.06006006006006,-0.20526698702711738,-0.05008194734104431
"boat rockerz 330 bluetooth wireless in ear earphones with mic, upto 30 hours playtime, asap charge, signature sound, dual ...",https://m.media-amazon.com/images/I/514sHd2+YyS._AC_UL800_.jpg,https://www.amazon.in/boAt-Rockerz-330-Bluetooth-Assistant/dp/B092XRRZ6C/ref=sr_1_22?qid=1679133649&s=electronics&sr=1-22,4.1,299.9622929380994,1099.0,3990.0,125.0,2891.0,0.013668384648753439,8.291797105048733,72.45614035087719,1.8712355461571235,1.347975891623485
lapster 5-in-1 multi-function laptop cleaning brush/keyboard cleaning kit/gadget cleaning kit gap duster key-cap puller fo...,https://m.media-amazon.com/images/I/51+UotA4ExL._AC_UL800_.jpg,https://www.amazon.in/Lapster-Multi-Function-Cleaning-Keyboard-Earphones/dp/B0BBW16VH9/ref=sr_1_23?qid=1679133649&s=electronics&sr=1-23,4.2,765.0,97.0,999.0,125.0,902.0,0.005490196078431373,6.907755278982137,90.29029029029029,-0.20526698702711738,-2.0077055460566475
"boat airdopes 121v2 in-ear true wireless earbuds with upto 14 hours playback, 8mm drivers, battery indicators, lightweight...",https://m.media-amazon.com/images/I/510+wjzq-vL._AC_UL800_.jpg,https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQN8DGZ/ref=sr_1_26?qid=1679133649&s=electronics&sr=1-26,3.8,299.9622929380994,1099.0,2990.0,125.0,1891.0,0.01266825894274709,8.003363058629947,63.24414715719063,1.378525895603506,1.347975891623485
"boat rockerz 255 pro+ in-ear bluetooth neckband with upto 40 hours playback, asap charge, ipx7, dual pairing, bt v5.0, wi...",https://m.media-amazon.com/images/I/51aBTOiXRlL._AC_UL800_.jpg,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=sr_1_30?qid=1679133651&s=electronics&sr=1-30,4.1,299.9622929380994,1499.0,3990.0,125.0,2491.0,0.013668384648753439,8.291797105048733,62.43107769423559,1.8712355461571235,1.7749620992560247
"boat rockerz 255 pro+ in-ear bluetooth neckband with upto 40 hours playback, asap charge, ipx7, dual pairing, bt v5.0, wi...",https://m.media-amazon.com/images/I/515jdxLlmaL._AC_UL800_.jpg,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TTXNZ4Y/ref=sr_1_31?qid=1679133651&s=electronics&sr=1-31,4.1,299.9622929380994,1299.0,3990.0,125.0,2691.0,0.013668384648753439,8.291797105048733,67.44360902255639,1.8712355461571235,1.5780533781504353
